location,latitude,longitude
7TH BLOCK JAYANAGAR,12.92613325,77.57848796011083
2ND PHASE JP NAGAR,12.9165317,77.5923697
KAMMANAHALLI,13.014615,77.63581
K G COLONY,23.343577,85.317893
BANASHANKARI,12.928228,77.562193
HEROHALLI,12.989057,77.490184
CHIKKABANAVAR,,
HRBR LAYOUT,13.011885,77.544139
NAN,12.9767936,77.590082
ASHWINI LAYOUT,13.03134,77.505599
MARATHALLI BRIDGE,12.96557,77.60625
DOORAVANI NAGAR,12.887209,77.680655
JCR LAYOUT,12.922005,77.648683
NEHRU NAGAR,12.98484655,77.58961905005917
KANAKAPURA,12.88857085,77.56336379757902
PAPAREDDIPALYA,,
VENKATAPURA,12.920738,77.633834
SNEHA COLONY,13.02702,77.637337
KONANAKUNTE,12.887382,77.568867
HOSAPALYA,12.8419732,77.482913
DODDAGUBBI,14.452076,75.5107992
SECTOR 6 HSR LAYOUT,12.9137758,77.629926
MARGONDANAHALLI,12.71416,76.21765
ITI LAYOUT,12.9665733,77.5016708
R.T. NAGAR,13.029083,77.593057
TUMKUR ROAD,13.02266,77.55017
VASANTHAPURA,12.8964054,77.5522621
HOSAHALLI,12.848252,77.749703
GM PALAYA,12.931849,77.607621
NEAR RAMANASHREE CALIFORNIA RESORT,13.11457705,77.57788770475543
6TH BLOCK BANASHANKARI 3RD STAGE,,
JALAHALLI EAST,13.069411,77.545025
POORNAPRAGNA HOUSING SOCIETY LAYOUT,,
HOSAKEREHALLI,12.9301881,77.5378332
HUSKUR,13.12364,77.43052
INDIRA NAGAR,12.9732913,77.6404672
SHANTHALA NAGAR,12.887209,77.680655
TEACHERS COLONY,12.9188265,77.6341185
BETTAHALSOOR,,
SRINIVASA NAGAR,17.4218323,78.5087208
SULTHANGUNTA,,
BYRATHI VILLAGE,12.96557,77.60625
KODICHIKKANAHALLI,12.8966996,77.6124269
AMBEDKAR COLONY,24.473665,75.137755
VARTHUR ROAD,12.93799,77.746859
ANJAPPA LAYOUT,13.011885,77.544139
AVALAHALLI,13.052371,77.680043
PRAKRUTHI NAGAR,8.552819,76.939413
SADARAMANGALA,12.9989026,77.7375086
ANJANAPURA,12.86201,77.564117
ABBIGERE,13.081365,77.517345
TINDLU,13.074981,77.5673
B NARAYANAPURA,12.9980556,77.6848622
GREEN GARDEN LAYOUT,12.87209015,77.64516248660641
GUBBALALA,12.888667,77.541142
DAIRY CIRCLE,12.93756,77.602236
PARAPPANA AGRAHARA,12.8814541,77.6674463
JEEVAN BIMA NAGAR,11.2886895,75.78436304289119
NARAYANA NAGAR 1ST BLOCK,12.526111,76.901512
KSRTC LAYOUT,13.0218526,77.5327689
P&T COLONY,12.96557,77.60625
CUNNINGHAM ROAD,12.987605,77.594515
NEW GURAPPANA PALYA,12.924234,77.604139
CHELEKARE,,
PALANAHALLI,13.11608105,77.6168046706018
